#
# The Rise of Faint, Red AGN at z>4
# Kocevski et al. 2024
# Table 3 
#
# Columns:
#  1 ID
#  2 Ra
#  3 Dec
#  4 zbest
#  5 zflag - zphot=0, zspec=1
#  6 beta_UV
#  7 beta_UV_err
#  8 beta_opt
#  9 beta_opt_err
#  10 mag444
#  11 m_uv - measured at rest-frame 1450A
#  12 M_UV - measured at rest-frame 1450A
#
#  Questions / comments: dkocevsk@colby.edu
#
           CEERS 260 214.805768  52.878048  7.93 0 -2.23 0.18  1.20 0.09 26.14 27.56 -19.57
           CEERS 941 214.757973  52.839706  7.42 0 -1.68 0.18  0.33 0.09 25.69 27.33 -19.70
           CEERS 965 214.912514  52.949437  5.95 0 -1.87 0.47  0.30 0.20 26.86 28.57 -18.11
          CEERS 1669 214.817697  52.877855  5.47 0 -2.48 0.10  0.04 0.06 25.54 26.33 -20.21
          CEERS 1914 214.998408  53.004619  6.49 0 -2.05 0.25  2.31 0.05 24.83 27.80 -19.02
          CEERS 1954 215.002842  53.007588  7.48 0 -1.48 0.27  0.86 0.11 26.36 28.18 -18.86
          CEERS 2285 214.956832  52.973153  5.86 0 -1.61 0.26  0.97 0.10 25.80 28.02 -18.64
          CEERS 2520 214.844768  52.892101  8.69 1 -1.75 0.12  2.18 0.20 25.54 26.88 -20.39
          CEERS 3153 214.925762  52.945661  5.23 0 -1.63 0.62  1.20 0.09 25.99 29.23 -17.24
          CEERS 4363 214.780370  52.834802  4.75 0 -1.93 1.34  0.24 0.16 26.72 29.30 -17.01
          CEERS 5208 214.927243  52.933893  5.92 0 -1.83 0.13  1.13 0.04 24.71 27.07 -19.60
          CEERS 5760 214.972445  52.962196  5.08 1 -1.24 0.62  0.51 0.09 26.12 29.45 -16.98
          CEERS 6126 214.923377  52.925588  5.29 1 -1.99 0.18  0.82 0.04 25.02 27.47 -19.02
          CEERS 6850 214.806665  52.837807  6.40 0 -2.10 0.11  1.14 0.06 25.33 27.16 -19.64
          CEERS 7000 214.840040  52.860645  4.69 0 -1.49 0.25  0.69 0.07 25.44 27.80 -18.49
          CEERS 7342 215.008492  52.977973  6.40 0 -2.24 0.23  1.15 0.08 25.28 27.33 -19.47
          CEERS 7872 214.876145  52.880825  8.36 1 -1.46 0.15  2.76 0.13 25.81 27.75 -19.46
          CEERS 7902 214.983037  52.956006  6.99 1 -0.85 0.08  0.89 0.05 23.96 26.79 -20.14
          CEERS 9083 214.797534  52.818757  6.62 1 -1.97 0.30  0.29 0.10 25.61 27.57 -19.28
         CEERS 10444 214.892248  52.877406  6.69 1 -1.22 0.11  0.43 0.03 24.00 27.03 -19.84
         CEERS 12833 214.929513  52.887910  7.16 1 -1.88 0.87  2.05 0.15 26.09 29.42 -17.55
         CEERS 13135 214.886801  52.855376  4.95 1 -1.34 0.34  0.05 0.04 24.72 28.32 -18.06
         CEERS 13318 214.795367  52.788848  5.28 1 -0.62 0.12  1.42 0.02 23.20 27.59 -18.90
         CEERS 13748 214.840543  52.817942  6.11 1 -2.51 0.86  2.10 0.15 25.79 28.49 -18.23
         CEERS 14949 214.990983  52.916523  5.68 1 -1.58 0.29  1.23 0.06 25.28 28.57 -18.03
         CEERS 15184 214.758699  52.749724  4.48 0 -2.80 0.27  0.42 0.09 25.48 26.88 -19.33
         CEERS 18646 214.773913  52.741349  3.40 0 -2.37 1.72  0.08 0.13 26.32 29.03 -16.71
         CEERS 18850 214.927802  52.850003  7.48 1 -2.08 0.19  0.49 0.16 26.61 27.70 -19.34
         CEERS 19578 214.880162  52.812562  5.29 0 -2.01 0.14  0.41 0.05 25.00 26.79 -19.70
         CEERS 19799 215.062508  52.940339  9.31 0 -1.86 0.14  2.07 0.20 26.25 27.43 -19.94
         CEERS 20320 214.876032  52.806109  5.79 1 -1.87 0.17  1.04 0.05 25.41 27.70 -18.93
         CEERS 20496 215.078257  52.948504  6.79 1 -1.82 0.24  0.03 0.09 26.34 28.17 -18.72
         CEERS 20777 215.137064  52.988557  5.29 1 -1.41 0.35  1.46 0.07 25.29 28.56 -17.93
         CEERS 21753 214.894556  52.812163  5.74 0 -1.75 0.40  1.44 0.07 25.23 28.54 -18.08
         CEERS 23931 214.817112  52.748343 10.21 0 -1.47 0.15 -0.02 0.24 26.77 27.69 -19.82
         CEERS 24220 214.934975  52.829368  6.37 0 -2.29 0.30  0.08 0.13 26.61 28.24 -18.55
         CEERS 24253 214.979960  52.861078  6.23 1 -1.98 0.07  0.99 0.03 23.92 25.94 -20.81
         CEERS 24805 214.899803  52.801540  8.38 0 -0.41 0.38  2.31 0.19 26.47 29.23 -17.98
         CEERS 27202 214.896469  52.787688  7.30 0 -1.06 0.34  0.31 0.06 25.46 28.65 -18.35
         CEERS 29025 215.080279  52.907899  7.48 0 -1.94 0.07  1.38 0.04 23.37 25.57 -21.47
         CEERS 36181 215.137016  52.955650  7.96 0 -2.62 0.65  2.80 0.21 26.69 29.23 -17.90
         CEERS 36308 214.975831  52.841960  9.82 0 -0.73 0.59  2.36 0.57 27.43 29.27 -18.18
         CEERS 41493 215.107207  52.942852  6.43 0 -1.04 1.63  1.60 0.38 27.19 30.20 -16.61
         CEERS 53047 214.954424  52.852402  9.25 0 -1.18 0.49  3.23 0.89 27.74 28.99 -18.37
         CEERS 54909 215.143715  52.988894  8.20 0 -1.53 0.72  2.48 0.51 27.42 29.58 -17.60
         CEERS 54927 215.061780  52.931177  7.48 0 -1.25 0.61  1.95 0.23 26.93 29.14 -17.90
         CEERS 58069 215.131469  52.984914  7.48 0 -0.96 1.16  2.10 0.21 26.57 30.00 -17.04
         CEERS 65326 214.886422  52.823379  7.87 0 -2.09 0.53  1.46 0.24 27.44 29.21 -17.91
         CEERS 69459 214.889680  52.832977  5.67 1 -2.01 0.53  0.45 0.21 26.97 28.80 -17.80
         CEERS 80072 214.937207  52.965350  9.04 0 -0.62 0.84  2.39 0.41 27.31 30.24 -17.09
         CEERS 80438 214.902238  52.939369  8.44 0 -1.81 0.28  2.25 0.24 26.66 28.55 -18.68
         CEERS 81443 214.830688  52.887770  9.13 0 -1.70 0.36  1.81 0.30 26.31 28.31 -19.04
         CEERS 82815 214.809145  52.868483  5.62 1 -1.78 1.08  1.88 0.23 25.64 28.57 -18.02
         CEERS 88326 214.779224  52.836922  3.88 0 -2.24 2.03  1.01 0.23 26.90 29.63 -16.34
         CEERS 96811 214.861035  52.879024  5.20 0 -2.25 0.50  1.17 0.13 26.76 28.96 -17.51
         CEERS 99879 214.871881  52.880431  5.68 1 -2.28 0.59  0.32 0.25 27.48 28.99 -17.62
        CEERS 102791 214.695150  52.748564  9.04 0 -1.92 0.31  2.21 0.26 26.20 28.24 -19.09
        CEERS 107936 214.701887  52.744079  8.05 0 -1.22 0.60  0.74 0.45 27.15 29.34 -17.81
        CEERS 110480 214.913993  52.889968  6.91 0 -2.19 0.94 -0.01 0.43 28.26 29.65 -17.26
        CEERS 110826 214.914034  52.889829  7.84 0 -2.26 1.15  2.20 0.55 27.66 29.55 -17.56
        CEERS 111399 214.896763  52.875798  6.13 1 -2.63 0.94  1.10 0.28 27.55 29.46 -17.27
        CEERS 111679 214.891920  52.873915  7.00 0 -1.93 1.62  0.38 0.46 27.72 29.88 -17.06
        CEERS 114801 214.975531  52.925267  5.11 1 -1.84 0.55  1.54 0.17 26.33 28.97 -17.46
